2013-03-06 18:02:19 Notice: Notice (8): Undefined index: SSL_CLIENT_VERIFY in [/opt/xplico/xi/app/controllers/users_controller.php, line 260]
2013-03-12 16:43:07 Notice: Notice (8): Undefined index:  in [/opt/xplico/xi/app/views/fbuchats/chats.ctp, line 56]
2013-03-12 17:00:43 Notice: Notice (8): Undefined index: userlogin in [/opt/xplico/xi/app/controllers/users_controller.php, line 112]
2013-03-12 17:00:53 Notice: Notice (8): Undefined index: userlogin in [/opt/xplico/xi/app/controllers/users_controller.php, line 112]
2013-03-12 17:00:56 Notice: Notice (8): Undefined index: userlogin in [/opt/xplico/xi/app/controllers/users_controller.php, line 112]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: time1 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 118]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: time2 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 119]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 120]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 121]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 122]
2013-06-10 17:15:37 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 131]
2013-06-10 17:15:37 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 164]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 304]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 307]
2013-06-10 17:15:37 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 308]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 26]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 29]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 30]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 43]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 44]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 45]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 48]
2013-06-10 17:15:37 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/edit.ctp, line 49]
